station,Date,Mean_TemperatureC,Mean_Humidity,Mean_Sea_Level_PressurehPa,Precipitationmm,CloudCover
HBA,2015-10-01,12,49,1017,0.0,5
HBA,2015-10-02,18,30,1020,0.25,NA
HBA,2015-10-03,23,18,1011,0.0,6
HBA,2015-10-04,17,35,1014,0.0,2
HBA,2015-10-05,20,29,1011,0.0,NA
HBA,2015-10-06,22,31,1006,0.0,6
HBA,2015-10-07,12,38,1029,0.0,2
HBA,2015-10-08,9,62,1037,0.0,2
HBA,2015-10-09,10,70,1031,0.0,3
HBA,2015-10-10,14,66,1024,0.0,4
HBA,2015-10-11,11,80,1014,1.02,4
HBA,2015-10-12,10,73,1019,0.25,6
HBA,2015-10-13,10,63,1026,0.0,2
HBA,2015-10-14,14,62,1022,0.0,4
HBA,2015-10-15,22,43,1011,0.0,NA
HBA,2015-10-16,17,63,1013,0.25,6
HBA,2015-10-17,14,40,1016,0.0,1
HBA,2015-10-18,11,50,1026,0.0,2
HBA,2015-10-19,10,72,1023,0.0,3
HBA,2015-10-20,16,63,1011,0.0,6
HBA,2015-10-21,14,58,1012,0.0,4
HBA,2015-10-22,9,61,1020,0.25,4
HBA,2015-10-23,11,55,1021,0.25,2
HBA,2015-10-24,11,58,1020,0.0,2
HBA,2015-10-25,13,65,1014,0.0,4
HBA,2015-10-26,11,55,1021,0.0,6
HBA,2015-10-27,13,45,1030,0.25,5
HBA,2015-10-28,10,65,1024,0.0,3
HBA,2015-10-29,13,62,1025,0.0,5
HBA,2015-10-30,14,70,1023,0.0,5
HBA,2015-10-31,17,65,1017,0.51,5
HBA,2015-11-01,19,68,1003,0.0,4
HBA,2015-11-02,12,58,1012,0.0,6
HBA,2015-11-03,9,58,1024,0.0,6
HBA,2015-11-04,10,53,1021,0.0,2
HBA,2015-11-05,17,59,1011,0.0,6
HBA,2015-11-06,16,78,1004,0.51,6
HBA,2015-11-07,12,70,1014,1.02,4
HBA,2015-11-08,16,52,1017,0.0,5
HBA,2015-11-09,23,43,1010,0.0,4
HBA,2015-11-10,13,48,1018,0.0,5
HBA,2015-11-11,10,51,1027,0.0,5
HBA,2015-11-12,13,80,1021,7.87,6
HBA,2015-11-13,16,64,1012,0.0,4
HBA,2015-11-14,12,59,1016,0.25,6
HBA,2015-11-15,12,58,1020,0.0,2
HBA,2015-11-16,13,67,1017,0.0,3
HBA,2015-11-17,18,62,1010,0.0,5
HBA,2015-11-18,16,63,1007,0.0,3
HBA,2015-11-19,19,43,1005,0.0,6
HBA,2015-11-20,18,42,1006,2.03,4
HBA,2015-11-21,16,44,1012,0.0,2
HBA,2015-11-22,17,39,1010,0.0,4
HBA,2015-11-23,18,39,1004,0.0,4
HBA,2015-11-24,18,39,1003,0.0,4
HBA,2015-11-25,18,43,993,0.0,5
HBA,2015-11-26,10,45,996,0.25,4
HBA,2015-11-27,11,44,1006,0.0,4
HBA,2015-11-28,17,50,1012,0.0,5
HBA,2015-11-29,14,71,1011,0.0,6
HBA,2015-11-30,18,49,1004,0.0,4
HBA,2015-12-01,16,52,1001,0.0,3
HBA,2015-12-02,13,41,1012,0.0,4
HBA,2015-12-03,18,43,1021,0.0,2
HBA,2015-12-04,14,57,1022,0.0,3
HBA,2015-12-05,13,74,1023,0.0,6
